제목,카테고리,경도,위도,추가정보
화도읍 맷돌로 110-9,업로드,127.302809,37.65723,단속일시:2026-03-18 14:17:19;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572300;_GPS_Y:127.302809
화도읍 맷돌로 110-9,업로드,127.302789,37.657231,단속일시:2026-01-06 19:33:51;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572306;_GPS_Y:127.302789
화도읍 맷돌로 114,업로드,127.302883,37.657234,단속일시:2026-01-22 10:14:42;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572336;_GPS_Y:127.302883
화도읍 맷돌로 110-9,업로드,127.302801,37.657237,단속일시:2026-01-20 10:31:43;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572368;_GPS_Y:127.302801
화도읍 맷돌로 114,업로드,127.302906,37.657231,단속일시:2026-01-07 10:19:29;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572311;_GPS_Y:127.302906
화도읍 맷돌로 118,업로드,127.303146,37.657216,단속일시:2026-01-21 10:37:14;단속동:화도읍;단속장소:화도읍 맷돌로 118;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572161;_GPS_Y:127.303146
화도읍 맷돌로 114,업로드,127.302919,37.657216,단속일시:2026-02-25 19:47:06;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572161;_GPS_Y:127.302919
화도읍 맷돌로 114,업로드,127.302913,37.657215,단속일시:2026-02-19 14:46:10;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572150;_GPS_Y:127.302913
화도읍 맷돌로 114,업로드,127.302949,37.657211,단속일시:2026-03-09 14:07:44;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572110;_GPS_Y:127.302949
화도읍 맷돌로 110-9,업로드,127.302832,37.657213,단속일시:2026-02-20 15:01:56;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572130;_GPS_Y:127.302832
화도읍 맷돌로 110-9,업로드,127.302823,37.657218,단속일시:2026-01-05 10:10:45;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572175;_GPS_Y:127.302823
화도읍 맷돌로 114,업로드,127.303034,37.657218,단속일시:2026-02-25 19:46:57;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572181;_GPS_Y:127.303034
화도읍 맷돌로 110-9,업로드,127.30281,37.657218,단속일시:2026-01-05 10:10:47;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572185;_GPS_Y:127.302810
화도읍 맷돌로 110-9,업로드,127.302662,37.657247,단속일시:2026-02-01 14:37:27;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572475;_GPS_Y:127.302662
화도읍 맷돌로 110-9,업로드,127.302573,37.657248,단속일시:2026-01-15 14:36:28;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572476;_GPS_Y:127.302573
화도읍 맷돌로 110-9,업로드,127.302587,37.657253,단속일시:2026-03-26 10:41:35;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572530;_GPS_Y:127.302587
화도읍 맷돌로 110-9,업로드,127.302605,37.657252,단속일시:2026-03-26 10:41:28;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572520;_GPS_Y:127.302605
화도읍 맷돌로 110-9,업로드,127.302597,37.657261,단속일시:2026-02-05 14:59:20;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572611;_GPS_Y:127.302597
화도읍 맷돌로 110-9,업로드,127.302653,37.657266,단속일시:2026-01-12 15:29:07;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572656;_GPS_Y:127.302653
화도읍 맷돌로 114,업로드,127.302757,37.657264,단속일시:2026-02-25 19:47:13;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572636;_GPS_Y:127.302757
화도읍 맷돌로 110-9,업로드,127.30265,37.657265,단속일시:2026-02-11 10:17:45;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572650;_GPS_Y:127.302650
화도읍 맷돌로 110-9,업로드,127.302614,37.657229,단속일시:2026-02-03 14:43:22;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572295;_GPS_Y:127.302614
화도읍 맷돌로 110-9,업로드,127.30274,37.657231,단속일시:2026-02-21 12:53:38;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572315;_GPS_Y:127.302740
화도읍 맷돌로 110-9,업로드,127.302671,37.657234,단속일시:2026-02-09 14:23:01;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572345;_GPS_Y:127.302671
화도읍 맷돌로 110-9,업로드,127.302612,37.657237,단속일시:2026-03-31 10:08:42;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572370;_GPS_Y:127.302612
화도읍 맷돌로 110-9,업로드,127.302605,37.657238,단속일시:2026-03-27 10:36:22;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572380;_GPS_Y:127.302605
화도읍 맷돌로 110-9,업로드,127.302739,37.65724,단속일시:2026-02-24 14:05:43;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572400;_GPS_Y:127.302739
화도읍 맷돌로 110-9,업로드,127.302713,37.657243,단속일시:2026-02-24 14:03:28;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572430;_GPS_Y:127.302713
화도읍 맷돌로 110-9,업로드,127.302657,37.657247,단속일시:2026-02-12 10:17:33;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572470;_GPS_Y:127.302657
화도읍 맷돌로 110-9,업로드,127.30269,37.657211,단속일시:2026-02-21 12:55:58;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572108;_GPS_Y:127.302690
화도읍 맷돌로 110-9,업로드,127.302754,37.657211,단속일시:2026-02-21 12:55:54;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572113;_GPS_Y:127.302754
화도읍 맷돌로 110-9,업로드,127.302604,37.657213,단속일시:2026-02-06 15:19:36;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572131;_GPS_Y:127.302604
화도읍 맷돌로 110-9,업로드,127.302765,37.657215,단속일시:2026-02-05 14:57:12;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572153;_GPS_Y:127.302765
화도읍 맷돌로 110-9,업로드,127.302563,37.657218,단속일시:2026-03-30 10:31:11;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572180;_GPS_Y:127.302563
화도읍 마석중앙로37번길 47,업로드,127.30273,37.65722,단속일시:2026-01-04 09:45:00;단속동:화도읍;단속장소:화도읍 마석중앙로37번길 47;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572201;_GPS_Y:127.302730
화도읍 맷돌로 110-9,업로드,127.302686,37.65722,단속일시:2026-02-10 15:15:47;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572200;_GPS_Y:127.302686
화도읍 맷돌로 110-9,업로드,127.302692,37.657226,단속일시:2026-01-21 10:35:47;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572260;_GPS_Y:127.302692
화도읍 맷돌로 110-9,업로드,127.302492,37.657248,단속일시:2026-03-31 10:07:18;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572480;_GPS_Y:127.302492
화도읍 맷돌로 110-9,업로드,127.302501,37.657249,단속일시:2026-03-31 10:07:22;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572490;_GPS_Y:127.302501
화도읍 맷돌로 110-9,업로드,127.302476,37.657257,단속일시:2026-01-23 10:33:54;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572571;_GPS_Y:127.302476
화도읍 맷돌로 110-9,업로드,127.302486,37.657257,단속일시:2026-02-03 14:43:32;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572573;_GPS_Y:127.302486
화도읍 맷돌로 110-9,업로드,127.302519,37.657258,단속일시:2026-02-03 14:41:00;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572575;_GPS_Y:127.302519
